"document","text","negative","positive","sentiment_score"
61,"06 червня 2023 року в стінах ЦДУ імені Володимира Винниченка студенти факультету математики, природничих наук та технологій – члени команди Krop_Robots в межах проєкту UPSHIFT відкрили гурток із робототехніки. Мета проєкту – розвивати галузь робототехніки серед дітей у нашому місті та області. Склад команди Krop_Robots: Денис Павлюк (група ЦТ20Б) – головний комунікатор команди, Владислав Губар (група ТН20Б) – спеціаліст EV3 та Arduino, Артем Руденко (група КН20Б) – фандрейзер, Михайло Бокатенко (група ЦТ21Б) – графічний дизайнер та Дар’я Решетнікова (група ІНФ20Б) – SММ, редакторка текстового матеріалу. Студенти доклали багато зусиль і часу для реалізації цього проєкту. Вони впевнені, що проєкт стане значним внеском у розвиток робототехніки у нашому місті. Команду, учасників і гостей радо вітали ректор ЦДУ імені Володимира Винниченка Євген Соболь, завідувач кафедри технологічної та професійної освіти Микола Садовий, старший викладач кафедри технологічної та професійної освіти Дмитро Соменко, голова ГО «СКЦ Задзеркалля» Олександр Кашлаков, керівник комунікацій ГО «СКЦ Задзеркалля» Василь Нестеренко, координаторка UPSHIFT Україна в Кіровоградській області Олена Ковальова та ментор Дмитро Бабак. Після офіційного відкриття провели бої роботів і вручили подарунки всім учасникам. Команда Krop_Robots дійсно хоче зробити впевнений крок у розвитку робототехніки, дуже вдячна нашому університету за надану можливість втілювати мрії в життя задля майбутнього нашої країни. Інформацію підготували голова студради факультету Дар’я Решетнікова та заступник декана Олена Трифонова 0",1,0,-1
62,"Вже багато років продовжується партнерство кафедри інформатики та інформаційних технологій з ІТ компанією Онікс-Системз. В середу, 31 травня студенти факультету математики, природничих наук та технологій разом з викладачами кафедри Олександром Баранюком, Людмилою Ганенко та Володимиром Нарадовим взяли участь в роботі Онiкс-Системз Open Day - зустрічі провідних працівників фірми Онікс зі студентами. Під час проведення Onix Open Day здобувачі освіти відвідали офіс компані Onix, поспілкувалися з провідними розробниками різних напрямів й ознайомилися з діяльністю компанії зсередини. Перед присутніми були проведені презентації діяльності основних відділів компанії, зокрема QA тестування, відділу React розробки, відділу дизайну та розробки на UNITY. Цікаві спікери та круті презентації викликали жваві дискусії, за участь у яких на студентів чекали пам'ятні подарунки. Під час виступів спікерів проводилася і демонстрація технологій, з якими працює компанія Onix. Студенти мали змогу працювати в віртуальній реальності з налагодження двигунів вантажівок, подискутувати над дизайном додатків, зокрема й мобільних. Загалом, на заході панувала атмосфера дружності та відкритості до діалогу. Підготував доцент кафедри інформатики та ІТ доцент Володимир Нарадовий 0",1,0,-1
63,"01 червня 2023 року факультет математики, природничих наук та технологій Центральноукраїнського державного університету імені Володимира Винниченка долучився до святкування Дня захисту дітей. Кафедра інформатики та інформаційних технологій, кафедра технологічної та професійної освіти та команда «Krop_Robots» взяли участь у заході, щоб продемонструвати роботів, які були сконструйовані під час занять на парах і функціонування студентських наукових гуртків. Студенти та викладачі зробили величезну подорож у майбутнє, презентували дитячій аудиторії свої робототехнічні розробки. Вони продемонстрували роботів, які були створені власноруч, засвоїли всі необхідні навички програмування та керування ними. Діти були захоплені, ставили багато запитань. Команда «Krop_Robots» також демонструвала роботу 3D принтера, який вражав усіх своєю точністю та можливостями. Діти з захопленням спостерігали, як цей пристрій здатен створювати тривимірні об’єкти прямо на їхніх очах. Захоплива подія відкрила перед дітьми незвичайний світ робототехніки та інноваційних технологій. Учасники зазначили, що такі заходи сприяють розвитку інтересу до науки та технологій у молодого покоління. Вони вірять, що маленькі учні, які побачили такі захопливі можливості та зрозуміли, що можуть стати частиною цього світу інновацій, будуть надихатися на досягнення в цих галузях у майбутньому. Інформацію підготували голова студради факультету Дар’я Решетнікова та заступник декана Олена Трифонова 0",NA,NA,NA
64,"На заняттях з інформатики в 2022–2023 навчальному році студенти Університету третього віку “Натхнення” розпочали опановувати навички роботи з інструментами Google. На лабораторних заняттях, яке відвідували дві підгрупи щоп'ятниці, почали знайомитися з браузером Chrome та робочим простором Google. Спочатку довідалися яким чином створити новий акаунт в системі Google, як здійснювати вхід у створений акаунт та основні налаштування свого акаунту. Потім вчилися працювати з пошуком та вкладками в браузері Chrome, шукали цікаві новини, опановували пошук зображень та відео. Наступним етапом було опрацювання роботи з Gmail, де студенти успішно вчилися надсилати та отримувати листи, надсилати листи групам контактів, додавати вкладення до електронних листів. Наступним кроком стало знайомство з Google Drive та Google Document. Вчилися створювати файлову структуру в Google Drive (створення теки та файлів Google Document), опановували навички завантаження файлів у Google Drive різними способами. Фінальним акордом в цьому навчальному році було освоєння Google Calendar. Тут студенти мали змогу попрацювати над складанням власного розпорядку, вчилися створювати разові та повторювальні події, розглядали способи редагування та видалення подій. Хотілося б зазначити старанність студентів Університету третього віку “Натхнення”. Вони сумлінно виконували домашні завдання, цікавилися матеріалом занять, допомагали один одному опановувати нові навички. Підготував доцент кафедри інформатики та ІТ Володимир Нарадовий 0",1,0,-1
65,"1 червня на кафедрі інформатики та ІТ в аудиторії 204 відбувся захист курсових робіт студентів групи КН19Б спеціальності 122 Комп’ютерні науки. Перш за все варто зазначити масовість заходу – група з'явилась на захист практично вся. Комісія у складі завідувачки кафедри Світлани Шлянчак, доцентів Василя Болілого, Ірини Лупан, Володимира Нарадового, Олени Присяжнюк, Ольги Резіної заслухали виступи (із презентаційним супроводом) за тематикою досліджень. Усі студенти вчасно та якісно виконали завдання, а під час захисту продемонстрували отримані ґрунтовні знання, навички та уміння програмування, набуті за три роки навчання. Завдання для реалізації було вибрано з базових курсів, з-поміж яких програмування, web-розробка, проєктування програмних систем тощо. Також з’явились роботи, пов’язані із робототехнікою, зокрема на базі Aurdino. Найбільшу зацікавленість та обговорення викликали доповіді, у яких запропоновано можливості використання матеріалів досліджень безпосередньо для автоматизації розв’язання актуальних практичних задач. Особливо хочеться відзначити такі дослідження: Артем Руденко. Створення робото-платформи на базі Aurdino з використанням 3D друку. Ігор Скорозвон. Створення криптовалюти університету. Дмитро Оришечко. Розробка користувацьких інтерфейсів на платформі JavaFx Сергій Філоненко. Shelter Finder. Вебсторінка для знаходження найближчого сховища. Ігор Матковський. Розробка «розумного будинку» на основі Aurdino. Владислав Михальов. Структурно-функціональне моделювання процесу електронного документообігу в університеті та проєктування схеми баз даних. Загалом захист відбувся у продуктивній і сприятливій атмосфері. Жвавий обмін думками щодо представлених студентами результатів сприяв кращому усвідомленню ними планів розгортання подальшого дослідження. Повідомлення підготувала доцент кафедри інформатики Олена Присяжнюк 0",1,1,0
66,"Викладачки Людмила Чистякова та Оксана Абрамова відвідали ДЗП(ПТ)О «Кропивницький професійний ліцей сфери послуг та торгівлі» та зустрілися із учнями, що навчаються на професії «кравець», «закрійник», «кухар», «кондитер» та ін. Викладачки ознайомили учнів із особливостями навчання у Центральноукраїнському державному університеті імені Володимира Винниченка, зокрема, на факультеті математики природничих наук та технологій, оскільки тут діють освітні програми дотичні до спеціальностей випускників ліцею. Л. Чистякова ознайомила присутніх з особливостями вступної кампанії та широким спектром пропозицій від ЦДУ, презентувала освітні програми університету. О. Абрамова звернула увагу на особливості освітнього процесу, можливості реалізації своїх творчих здібностей та планування власних професійних намірів, завдяки можливостям побудови індивідуальної освітньої траєкторії під час навчання в університеті. Присутні зацікавилися можливостями здобути вищу освіту, ставили питання подальшого працевлаштування, умови та вартість проживання у гуртожитку, призначення стипендій, особливостей вступу для пільгових категорій тощо. Інформацію підготували Оксана Абрамова та Людмила Чистякова 0",NA,NA,NA
67,"На початку червня учні-слухачі Кіровоградської МАН учнівської молоді секції «Навчальні, ігрові програми та віртуальна реальність» (керівник Сніжана Гонтова) відвідали лабораторію програмування мікроконтролерів та робототехніки на факультеті математики, природничих наук та технологій ЦДУ ім. В. Винниченка. Їх гостинно зустріли викладачка кафедри інформатики та інформаційних технологій Людмила Ганенко та студент-третьокурсник Андрій Ткаченко. Під час екскурсії учні побачили процес створення і програмування роботів з використанням мікроконтролерів. Слухачі МАНу з цікавістю ознайомились із принципами роботи обладнання, зокрема наборів на базі мікроконтролерів Micro:bit та платформи Arduino, дослідили принцип роботи 3D принтера, створили сучасні 3D моделі різних об’єктів. Неабияке захоплення учнів викликала демонстрація студентських проєктів, які дозволяють розв’язувати реальні життєві проблеми. Учасники мали можливість не лише спостерігати, а й керувати робототехнічними пристроями, вдосконалити свої навички програмування на мікроконтролері. Для юних дослідників було важливим застосувати свої знання з програмування у реальному середовищі. Студенти і колеги кафедри інформатики та інформаційних технологій ЦДУ поділилися власним досвідом і знаннями, а учні зрозуміли як запрограмувати мікроконтролери та керувати роботами. Слухачі МАН довідалися багато цікавого про наукові дослідження, започатковані на факультеті математики, природничих наук та технологій ЦДУ. Такий інтерактив викликав неабиякий інтерес учнів до робототехніки і став гарною мотивацією до нових відкриттів. Інформацію надано кафедрою інформатики та інформаційних технологій 0",NA,NA,NA
68,"Ще в далекому 1998 на фізико-математичному факультеті (нині факультет математики, природничих наук та технологій) було започатковано конкурс «Палітра моди», як звітний показ робіт студентів та студенток спеціальності «Середня освіта (Трудове навчання та технології)». Під час заходу здобувачі демонстрували власноруч виготовлені колекції швейних виробів, аксесуарів, головних уборів, одягу тощо. Засновницею цього конкурсу була викладачка кафедри загальнотехнічних дисциплін та методики трудового навчання (нині – кафедра технологічної та професійної освіти) Ольга Єжова, яка зараз працює професоркою Київського національного університету технологій та дизайну. За період існування творчий конкурс набув популярності й став традиційною і видовищною частиною Тижня факультету. Поступово Конкурс переріс із звичайного звітного показу здобутків студентів у справжнє шоу талантів, у якому брали участь школярі закладів загальної середньої освіти, а також вокальні, інструментальні та хореографічні колективи нашого міста. На жаль, 2020 року через початок пандемії провести конкурс не було можливості. Але вже наступного року було прийнято рішення провести конкурс та розширити номінації, що дало можливість здобувачам продемонструвати свої творчі здібності в інших напрямах. З огляду на безпекову ситуацію, 2021 року було запропоновано провести в онлайновому форматі конкурс «Палітра талантів», увести окрему конкурсну категорію для учнів, запровадити нові номінації конкурсу, зокрема, для демонстрації виробів декоративно-ужиткового мистецтва, дизайну декору в інтер’єрі, кулінарного мистецтва, 3-D технологій тощо, та започаткувати онлайн-формат для відбіркового етапу конкурсу. Ініціаторкою запровадження конкурсу в оновленому форматі виступила викладачка Оксана Абрамова. Ідею було підтримано та закріплено у Положенні про онлайн-конкурс творчих робіт «Палітра талантів», яку розробила робоча група у складі доценток Людмили Чистякової, Оксани Абрамової, Ольги Пуляк під керівництвом декана факультету математики, природничих наук та технологій Тетяни Фурсикової. Організатором конкурсу виступила кафедра технологічної та професійної освіти факультету математики, природничих наук та технологій. Метою конкурсу є виявлення творчих особистостей, популяризація усіх напрямків дизайну та декоративно-ужиткового мистецтва, взаємообміну та взаємозбагачення культурними та національними традиціями, виявлення й заохочення новаторських ідей молоді у створенні оригінальних проєктів, поширення їх у суспільстві засобами соцмереж. Цього року перший етап конкурсу стартував на початку квітня. Учасники конкурсу розміщували фото власноруч створених виробів у соцмережах Facebook, Instagram із хештегом конкурсу #палітраталантів2023цду або надсилали організаторам конкурсу для розміщення у соцмережах у групі факультету. 15 травня 2023 року відбулося засідання журі на якому було визначено переможців конкурсу. Конкурсанти змагалися за двома категоріями «Аматори та учні» й «Студенти та майстри» у номінаціях «Одяг та аксесуари», «Вироби декоративно-ужиткового мистецтва», «Дизайн декору в інтер’єрі», «Кулінарне мистецтво», «3 D друк» тощо. Журі конкурсу відслідковувало роботи учасників в соцмережах за зазначеним хештегом. На конкурс було подано 243 роботи учнів, студентів закладів загальної середньої, професійної (професійно-технічної), позашкільної та вищої освіти Кіровоградської області: Комунальний заклад «Ліцей «Науковий» Міської ради міста Кропивницького»; Комунальний заклад «НВО І-ІІІ ступенів «Мрія» Кіровоградської міської ради Кіровоградської області», Центр естетичного виховання «Росток», гурток «Художня вишивка»; Комунальний заклад «Ліцей «Європейська освіта» Кропивницької міської ради»; Комунальний заклад «Гірнича гімназія Кропивницької міської ради»; Комунальний заклад «Подільська гімназія Кропивницької міської ради»; Комунальний заклад «Кущівська гімназія міської ради міста Кропивницького»; Помічнянський центр дитячої та юнацької творчості; Комунальний заклад «Полтавська загальноосвітня школа I-III ступенів Компаніївської селищної ради»; Комунальний заклад «Михайлівський ліцей» Олександрівської селищної ради Кропивницького району Кіровоградської області, Гурток «Палітра»; Центр дитячої та юнацької творчості ім.О. Шакала, м. Олександрії, гурток «Текстильна лялька»; Регіональний центр професійної освіти ім. О.С. Єгорова та ін. Журі конкурсу, до складу якого увійшли викладачі факультету математики, природничих наук та технологій і студенти, оцінювали роботи учасників та учасниць конкурсу та визначили переможців – 50 % за найбільшою кількістю «лайків» від користувачів соцмереж під публікацією проєкту у Facebook та Instagram й другу половину – за підсумками проведеного оцінювання робіт відповідно до визначених критеріїв у Положенні про конкурс. 17 травня 2023 року в приміщенні Центральноукраїнського державного університету імені Володимира Винниченка відбулася фінальна частина конкурсу «Палітра талантів – 2023». Ведучими конкурсу стали Олександра Меренкова (група ПО19Б) та Андрій Милий (група МФ21Б). З вітальним словом до присутніх звернулися проректор з наукової роботи університету Лілія Клочек та декан факультету математики, природничих наук та технологій Тетяна Фурсикова. У яскравому шоу-дефіле було представлено дев’ять творчих колекцій одягу від студенток різних років випуску та груп спеціальностей Середня освіта (Трудове навчання та технології) та Професійна освіта (Технологія виробів легкої промисловості), які були виконані під керівництвом викладачок Оксани Абрамової, Тетяни Куценко, Людмили Чистякової та Тетяни Хріненко. Глядачі також мали змогу насолодитися хореографічними, вокальними номерами студентів Максима Мелешка (група КН22Б), Дар'ї Чулкової (група ІНФ19Б), Олени Дерман (група ТУР22Б) та інших й прослухати чуттєве декламування власне складеного вірша Катериною Приходько (група БХ20Б), яке не залишило байдужими глядачів конкурсу. До університету завітали переможці конкурсних робіт, які отримали дипломи, подарунки та сувенірну продукцію. Керівникам творчих робіт організатори вручили подяки за підготовку учасників конкурсу. Переможці конкурсу категорії «Аматори та учні»: – номінація «Вироби декоративно-ужиткового мистецтва», 1 місце – Богдан Бабченко (Помічнянський центр дитячої та юнацької творчості, керівник – Вікторія Бондаренко), 2 місце – Ірха Мілєна (Комунальний заклад «НВО І-ІІІ ступенів «Мрія» Кіровоградської міської ради Кіровоградської області», керівник – Тетяна Краснощеченко). – номінація «Дизайн декору в інтер’єрі», 1 місце – Павло Білоножко (Комунальний заклад «Подільська гімназія Кропивницької міської ради», керівник – Алла Біденко) та Анастасія Козлова (Центр дитячої та юнацької творчості ім.О. Шакала, м. Олександрії, гурток «Текстильна лялька», керівник – Інна Гречанюк); 2 місце – Дар'я Онуфрак (Комунальний заклад «Полтавська загальноосвітня школа I-III ступенів Компаніївської селищної ради», керівник – Оксана Онуфрак) та Ліза Пересада (Комунальний заклад «Кущівська гімназія міської ради міста Кропивницького», керівник – Катерина Годованець); 3 місце – Єлисей Мєдвєдєв (Комунальний заклад «Гірнича гімназія Кропивницької міської ради», керівник – Алла Полунчукова), Шиняєва Діана (Комунальний заклад «Михайлівський ліцей» Олександрівської селищної ради Кропивницького району Кіровоградської області, Гурток «Палітра», керівник – Наталія Мартіросян) та Ярослава Мельник (Комунальний заклад «Ліцей «Науковий» міської ради міста Кропивницького», керівник – Олена Дем’яненко). – номінація «Кулінарне мистецтво», 1 місце – Єлизавета Панасенко (Регіональний центр професійної освіти ім. О.С. Єгорова, керівник – Світлана Катана); 2 місце – Світорада Остапчук (Комунальний заклад «Ліцей «Європейська освіта» Кропивницької міської ради», керівник – Лариса Пич) та Ярослав Колорей (Регіональний центр професійної освіти ім. О.С. Єгорова, керівник – Світлана Катана). – номінація «Одяг та аксесуари», перемогла Аріна Дорул (Комунальний заклад «НВО І-ІІІ ступенів «Мрія» Кіровоградської міської ради Кіровоградської області», керівник – Тетяна Краснощеченко). – номінація «3 D друк», переміг Серафим Островський. Для нагородження у категорії «Студенти та майстри» запросили студентів та випускників спеціальностей Середня освіта (Трудове навчання та технології), Професійна освіта «Технологія виробів легкої промисловості) та Професійна освіта (Цифрові технології). Переможці конкурсу категорії «Студенти та майстри»: – номінація «Дизайн декору в інтер’єрі», перемогла – Олена Батай. – номінація «Одяг та аксесуари»: 1 місце – Маргарита Дем’яненко; 2 місце – Єлизавета Берегуленко; 3 місце – Алла Молдавану. – номінація «Кулінарне мистецтво»: 1 місце – Юлія Іваниця; 2 місце – Лариса Литвин. Активну участь у підготовці конкурсу взяли студенти факультету математики, природничих наук та технологій. Так, студенти груп ТН20Б та ЛП21Б, у межах вивчення дисципліни «Організація конкурсів в галузі» розробили чек-лист конкурсу й коротке та повне оголошення про конкурс, розповсюджували інформацію про конкурс в соцмережах та розміщували роздруковану інформацію на дошках оголошень в закладах освіти, продукували ідеї для відзначення учасників конкурсу, проводили постійний моніторинг та оцінку проєктів. Зокрема, студентка Ірина Ліснича (група ТН20Б) була авторкою малюку логотипу конкурсу на короткому оголошенні, а студент цієї ж групи Владислав Губар був членом журі конкурсу. Макет для виготовлення сувенірної продукції конкурсу виконали студенти Віталій Хомич та Богдан Шершень (група КТ19Б). Ольга Баглій (група ХБ19Б) підготувала сценарій для фінального концерту. Для демонстрації колекцій одягу проводилися тренування дефіле та репетиції показу моделей під керівництвом викладачок кафедри технологічної та професійної освіти Ольги Пуляк і Наталі Мироненко, а також представниць студентського самоврядування Дар’ї Решетнікової та Олександри Меренкової. Моделями на показі стали студентки факультету: А. Албот (група ПН 22 Б); С. Гаврюшина, Д. Скрипник, В. Сотнікова (група М 22 Б); М. Дем’яненко, А. Молдовану, Н. Кім (група ТН 22 Б); М. Бабаліч (група МФ 21 Б); Н. Черненко (група ІНФ 21 Б); А. Копиця (група ФА 20 Б); О. Ковальчук (група ІНФ 20 Б); Р. Тупчієнко (група МІ 20 Б); А. Тєльна (група БХ 19 Б). Стилістками у демонстрації колекцій одягу були студентки А. Голубець, А. Рябченко, В. Стасик (група ЛП 21 Б). Вітаємо переможців конкурсу та їх керівників! Дякуємо учасникам за яскраве представлення творчих робіт та внесок у популяризацію творів дизайну, декоративно-ужиткового мистецтва, культурних та національних традицій нашої країни! Висловлюємо вдячність викладачам та співробітникам факультету Тетяні Фурсиковій, Олені Трифоновій, Миколі Садовому, Оксані Абрамовій, Тетяні Куценко, Сергію Кононенку, Наталії Мироненко, Ользі Пуляк, Сергію Рябцю, Дмитру Соменко, Людмилі Чистяковій, Олександру Щирбулу, Надії Остапчук, Віті Марченко, Тетяні Хріненко та студентам за підготовку та проведення конкурсу «Палітра талантів – 2023»! Інформацію підготували О. Абрамова, О. Пуляк, Д. Решетнікова 0",1,49,48
69,"В нашому університеті продовжується реалізація проєкту «Субнаціональна гендерна рівність: баланс цінностей ЄС та українських реалій» (скорочена назва «SubGend») за програмою ЄС Еразмус+ з напрямку Жан Моне. Координатором проєкту є доцент кафедри математики та методики її навчання Катерина Сергіївна Акбаш. Основна мета виконання проєкту – популяризація гендерної проблематики серед різних верств населення та привернення уваги громадськості до просування гендерної рівності та універсального включення гендерних вимірів. Виконання проєкту продовжується проведенням останнього тижня червня 2023 року (з 26.06 до 30.06) літньої школи «Тренінг з гендерної рівності» для студентів та вчителів. Під час проведення літньої школи розглядатимуться проблеми прихованого навчального плану в системі освіти, гендерного дисбалансу української освіти на національному та субнаціональному рівнях, дискримінації та сексуальних домагань в освіті, причини протидії гендерній рівності в Україні та гендерні аспекти рівності в політико-правовій сфері на національному та субнаціональному рівнях. За результатами проведення літньої школи учасникам будуть видаватися сертифікати (з розрахунку: один день участі в роботі школи – 9 годин (0,3 кредити)). Для участі в роботі літньої школи майбутнім учасникам пропонуємо заповнити Google форму. Форма проведення – дистанційна. З усіх питань та консультацій звертатися за тел. +38050 5666026 (Ренат Ярославович Ріжняк). 0",2,0,-2
70,"25 травня 2023 року на базі кафедри математики та методики її навчання відбулося чергове засідання науково-методичного семінару «Актуальні проблеми навчання математики, інформатики та економіки». У семінарі взяли участь члени кафедри математики та методики її навчання і понад 40 вчителів математики з різних областей України. Учасників семінару «Актуальні проблеми навчання математики, інформатики та економіки» привітала голова семінару доктор педагогічних наук, доцент Юлія Ботузова, яка побажала успішної та корисної роботи усім присутнім. Юлія Ботузова презентувала доповідь «Розвиток навичок критичного мислення учнів під час використання графічних калькуляторів». У вступній частині спікер зазначила, що згідно з Концепцією Нової української школи критичне мислення має бути одним із наскрізних умінь учнів. Також на Всесвітньому економічному форумі критичне мислення та аналіз увійшли до ТОП-10 навичок, які будуть потрібні для роботи у найближчі роки. Далі Юлія Володимирівна проаналізувала та продемонструвала можливості розвитку навичок критичного мислення учнів на уроках математики в старшій профільній школі із застосуванням різних графічних калькуляторів, зокрема, GeoGebra, Desmos та Photo Math. Спікерка схарактеризувала серію прикладів та зробила порівняльний аналіз їхніх розв’язків, які були отримані за допомогою графічних калькуляторів GeoGebra, Desmos та Photo Math. Наведені у доповіді приклади засвідчують, що графічні калькулятори й різноманітні математичні програмні засоби не завжди пропонують правильний результат, а тому не тільки спрощують і покращують процес навчання математики, а й навпаки. Наприкінці доповіді Юлія Володимирівна зазначила, що лише симбіоз людського розуму та комп’ютерних технологій може давати найбільший ефект у процесі навчання математики й учні це мають розуміти! По закінченню доповіді Юлії Ботузової учасники семінару обговорили запропоновану тему, шляхи розв'язання цієї проблеми, висловили вдячність спікерці за цікаві й корисні матеріали. Запрошуємо науковців, вчителів, студентів та всіх охочих до участі в роботі завершального цього навчального року засідання науково-методичного семінару «Актуальні проблеми навчання математики, інформатики та економіки», який відбудеться 29 червня 2023 року! Інформацію надано кафедрою математики і методики її навчання 0",1,2,1
