"word","n"
"обговорил",23
"ознайом",23
"окрем",23
"повязан",23
"посиланн",23
"провод",23
"провідн",23
"розвязанн",23
"самоврядуванн",23
"фурсик",23
"хімічн",23
"шевченк",23
"історичн",23
"stem",22
"автор",22
"вдал",22
"викликал",22
"викон",22
"гарн",22
"дискус",22
"екзамен",22
"ефективн",22
"запрошуєм",22
"значн",22
"кз",22
"колег",22
"кількіст",22
"магістр",22
"магістрант",22
"момент",22
"обмін",22
"пед",22
"плющ",22
"полтавськ",22
"порад",22
"принцип",22
"проход",22
"субнаціональн",22
"суспільств",22
"туризм",22
"час",22
"яскрав",22
"of",21
"soft",21
"боротьб",21
"відзначил",21
"губар",21
"доповідд",21
"екологічн",21
"зацікавлен",21
"категорі",21
"кіберзлочин",21
"найкращ",21
"поширенн",21
"проводит",21
"підготовц",21
"рис",21
"розповід",21
"розпочал",21
"самостійн",21
"складов",21
"спільнот",21
"тематик",21
"ход",21
"ін",21
"інн",21
"arduino",20
"бакалавр",20
"блок",20
"вибор",20
"вигляд",20
"визнач",20
"відом",20
"вік",20
"двер",20
"допомаг",20
"екскурс",20
"зацікавил",20
"зацікавленіст",20
"звязк",20
"звітн",20
"змістовн",20
"зустріл",20
"культур",20
"мар",20
"миколайович",20
"мисленн",20
"навчальнометодичн",20
"найбільш",20
"обговорюв",20
"окреслил",20
"перевірк",20
"працевлаштуванн",20
"реалізац",20
"розвив",20
"розпоч",20
"сальник",20
"ставил",20
"аспірант",19
"вдячніст",19
"голов",19
"документ",19
"досягнен",19
"елемент",19
"життєв",19
"зазначил",19
"засад",19
"захоплив",19
"здійснюєт",19
"кабінет",19
"комплекс",19
"кругл",19
"кіровоградщин",19
"модератор",19
"моніторинг",19
"нуш",19
"нічишин",19
"оновленн",19
"параметр",19
"пасічник",19
"повн",19
"продемонструвал",19
"пропозиці",19
"стажуванн",19
"січн",19
"торгівл",19
"училищ",19
"центральн",19
"цінност",19
"ілліч",19
"індивідуальн",19
"a",18
"аудиторі",18
"бажанн",18
"бажаюч",18
"базов",18
"біологічн",18
"визначен",18
"вікторівн",18
"вітальн",18
"гарант",18
"громад",18
"дзво",18
"додатк",18
"емоці",18
"завіт",18
"загал",18
"здібност",18
"керув",18
"кнб",18
"компан",18
"конкретн",18
"краснощок",18
"минул",18
"мяк",18
"обран",18
"організаційн",18
"освітньопрофесійн",18
"особист",18
"петрівн",18
"посад",18
"пропаганд",18
"підрозділ",18
"розроблен",18
"рок",18
"рівноденн",18
"спеціальн",18
"удосконаленн",18
"юр",18
"інтелектуальн",18
"анастас",17
"арт",17
"виготовленн",17
"виставк",17
"вчен",17
"віртуальн",17
"гурток",17
"держав",17
"дипл",17
"диплом",17
"дослідницьк",17
"затемненн",17
"збор",17
"звернул",17
"зібр",17
"карєрн",17
"колект",17
"коротк",17
"майстерклас",17
"макс",17
"мироненк",17
"навч",17
"навчают",17
"напр",17
"неділ",17
"под",17
"поспілкув",17
"поставлен",17
"пошук",17
"презентувал",17
"спостеріг",17
"створюв",17
"тарас",17
"черг",17
"ініціатив",17
"upshift",16
"алгоритм",16
"вдосконаленн",16
"верховн",16
"визначенн",16
"визначил",16
"виявил",16
"волонтерськ",16
"віде",16
"відкритт",16
"відповідн",16
"експеримент",16
"експерт",16
"зазначен",16
"заслужен",16
"зимов",16
"значенн",16
"канд",16
"куценк",16
"ладиф",16
"обєкт",16
"отримув",16
"павл",16
"повідомленн",16
"показник",16
"понятт",16
"привітал",16
"пров",16
"підсумков",16
"район",16
"ринк",16
"розумінн",16
"рєзін",16
"сергіївн",16
"складанн",16
"спектр",16
"сподіваєм",16
"справжн",16
"становленн",16
"сухомлинськ",16
"ум",16
"цінн",16
"інфб",16
"onix",15
"авторськ",15
"акбаш",15
"воїн",15
"вікторович",15
"віт",15
"годинник",15
"громадян",15
"дружн",15
"екскурсі",15
"закінченн",15
"запровадженн",15
"запросил",15
"запрошен",15
"кваліфікац",15
"контекст",15
"лаборатор",15
"міждисциплінарн",15
"наданн",15
"напрацюванн",15
"неб",15
"нин",15
"овволчанськ",15
"плідн",15
"побачит",15
"поведінк",15
"прийм",15
"принтер",15
"природничоматематичн",15
"проаналізув",15
"півкул",15
"ряд",15
"рівніст",15
"сил",15
"ситуаці",15
"сприя",15
"стол",15
"сьогоденн",15
"теор",15
"тепл",15
"точк",15
"умін",15
"фах",15
"харківськ",15
"хмельницьк",15
"ярославович",15
"інформаційнокомунікаційн",15
"javascript",14
"meet",14
"path",14
"prefix",14
"аграрн",14
"академ",14
"актуальніст",14
"алл",14
"англійськ",14
"аспірантк",14
"баланс",14
"брал",14
"більшіст",14
"важливост",14
"валер",14
"взят",14
"вирішенн",14
"войналович",14
"вільн",14
"вітал",14
"графічн",14
"дискусі",14
"журнал",14
"звязок",14
"класн",14
"координатор",14
"критері",14
"ктб",14
"культурн",14
"ліл",14
"мобільн",14
"музе",14
"народн",14
"натхненн",14
"обєднанн",14
"олексіївн",14
"освітньонауков",14
"особистост",14
"очн",14
"положенн",14
"практиц",14
"проблемн",14
"продукт",14
"професі",14
"психолог",14
"пізнавальн",14
"реал",14
"рекомендаці",14
"розкрил",14
"рух",14
"світов",14
"сертифік",14
"ситуац",14
"слав",14
"собол",14
"спортивн",14
"ст",14
"створит",14
"телефон",14
"терещук",14
"тест",14
"тов",14
"українц",14
"учениц",14
"фот",14
"хвильов",14
"цифровізаці",14
"чин",14
"інновац",14
"іноземн",14
"автоматизован",13
"безпосередн",13
"бот",13
"бібліотек",13
"варт",13
"ввинниченк",13
"взаємоді",13
"виникненн",13
"виробництв",13
"внутрішн",13
"вступн",13
"дал",13
"джерел",13
"дитяч",13
"допомогт",13
"ділил",13
"еразмус",13
"забезпеч",13
"залученн",13
"зво",13
"змаган",13
"зно",13
"кандидатк",13
"київськ",13
"космічн",13
"крок",13
"локац",13
"медичн",13
"мсіт",13
"місяц",13
"нараз",13
"народ",13
"низк",13
"обовязков",13
"обр",13
"обєдн",13
"олег",13
"олександрійськ",13
"пар",13
"поверхн",13
"поді",13
"потенціал",13
"пристро",13
"проаналізувал",13
"провест",13
"пройш",13
"підхід",13
"реальност",13
"роботизован",13
"розглянул",13
"секці",13
"старшокласник",13
"статт",13
"тестуванн",13
"тип",13
"ткаченк",13
"тнб",13
"фмпнт",13
"функц",13
"функці",13
"харченк",13
"числ",13
"шлянчак",13
"єдин",13
"іван",13
"ігор",13
"інноваці",13
"інтеграц",13
"інформаціє",13
"here",12
"i",12
"аналітичн",12
"буткевич",12
"бхб",12
"вернісаж",12
"виготовлен",12
"волонтер",12
"вперш",12
"відбуваєт",12
"відкрил",12
"відновленн",12
"вітчизнян",12
"графік",12
"гуртожитк",12
"датчик",12
"детальніш",12
"дні",12
"довід",12
"дошк",12
"друк",12
"захисник",12
"зробит",12
"квест",12
"клочек",12
"колекц",12
"компютер",12
"конструктор",12
"критичн",12
"літератур",12
"марин",12
"нагород",12
"найближч",12
"окреслен",12
"оформленн",12
"передвищ",12
"перелік",12
"побажал",12
"повідомил",12
"потрібн",12
"поч",12
"правильн",12
"представлял",12
"прийом",12
"причин",12
"проблематик",12
"програмован",12
"проект",12
"професіонал",12
"розглянут",12
"розумн",12
"руденк",12
"секц",12
"секційн",12
"селищн",12
"спеціалізован",12
"створил",12
"стипенд",12
"стрес",12
"тришаров",12
"тур",12
"українец",12
"уманськ",12
"факт",12
"фінансов",12
"характеристик",12
"цикл",12
"цьогорічн",12
"чудов",12
"іванович",12
"іванівн",12
"lego",11
"аудит",11
"валентинівн",11
"васильович",11
"вибір",11
"виданн",11
"використовуют",11
"володимирович",11
"впевнен",11
"відвідувач",11
"військов",11
"геометричн",11
"гідродинамічн",11
"да",11
"демонстрац",11
"демонструв",11
"денн",11
"дидактичн",11
"дитин",11
"дозволя",11
"дослідник",11
"доступн",11
"дотриманн",11
"дух",11
"завершальн",11
"запланован",11
"засновник",11
"зворотн",11
"згідн",11
"ззсо",11
"конфлікт",11
"короленк",11
"корупці",11
"кращ",11
"кредит",11
"ларис",11
"лектор",11
"локаці",11
"мав",11
"мотиваці",11
"населенн",11
"науководослідн",11
"небесн",11
"необхідніст",11
"обчислювальн",11
"омтрифонов",11
"організув",11
"памят",11
"панченк",11
"партнер",11
"передбач",11
"переробк",11
"переход",11
"перехід",11
"перспективн",11
"повсякденн",11
"польщ",11
"поліці",11
"посібник",11
"початок",11
"працю",11
"працюют",11
"присяжнюк",11
"пропедевтичн",11
"профіл",11
"підручник",11
"реч",11
"соцмереж",11
"сприянн",11
"спробув",11
"сузір",11
"сумськ",11
"сша",11
"творчост",11
"тематичн",11
"тичин",11
"триваліст",11
"університетськ",11
"урахуванн",11
"черкаськ",11
"чистяков",11
"щирбул",11
"яросл",11
"європ",11
"classroom",10
"gml",10
"microbit",10
"альянс",10
"анатоліївн",10
"асоціаці",10
"бал",10
"баранюк",10
"безпечн",10
"бесід",10
"блокуванн",10
"богданівськ",10
"бокатенк",10
"весел",10
"вивч",10
"вишиванк",10
"власноруч",10
"ворож",10
"відеоурок",10
"гв",10
"громадськост",10
"гідн",10
"декоративноужитков",10
"дисертац",10
"досвідчен",10
"дошкільн",10
"дпн",10
"експертиз",10
"жан",10
"запит",10
"запитан",10
"запропонувал",10
"запрошенн",10
"збереженн",10
"знамянськ",10
"зробил",10
"зростанн",10
"зсу",10
"канал",10
"коміс",10
"комітет",10
"логістик",10
"муз",10
"набут",10
"наголошен",10
"нарадов",10
"науковоосвітн",10
"неймовірн",10
"обговорен",10
"овприсяжнюк",10
"офіційн",10
"оцінк",10
"пакет",10
"палітр",10
"пам",10
"пан",10
"певн",10
"плануванн",10
"пленарн",10
"побаж",10
"побудов",10
"повинн",10
"погляд",10
"подан",10
"позакласн",10
"показал",10
"поляг",10
"популяризац",10
"постанов",10
"президент",10
"приймальн",10
"природ",10
"пристр",10
"приєдн",10
"проходит",10
"проєктн",10
"результативн",10
"розкр",10
"руханк",10
"рябец",10
"свобод",10
"сері",10
"слід",10
"спеціаліст",10
"сприяют",10
"статистичн",10
"сільськ",10
"текстильн",10
"температур",10
"тенденці",10
"територі",10
"термін",10
"тестов",10
"ткачук",10
"традиц",10
"трифонов",10
"умінн",10
"устан",10
"функціональн",10
"цікавіст",10
"чекаєм",10
"шановн",10
"шар",10
"ші",10
"юридичн",10
"ізюмченк",10
"and",9
"hr",9
"instagram",9
"web",9
"авраменк",9
"академік",9
"астроном",9
"атестаці",9
"вдячн",9
"весн",9
"використан",9
"висловлюєм",9
"виявленн",9
"волейбол",9
"відзнач",9
"відчут",9
"візит",9
"демонстраці",9
"дисертаційн",9
"доповнен",9
"допомагают",9
"допомож",9
"дорог",9
"експертконсультант",9
"емоційн",9
"задоволен",9
"зазнач",9
"зазначит",9
"залишил",9
"запобіганн",9
"запрош",9
"збірник",9
"знайт",9
"зупин",9
"кадр",9
"камер",9
"кампані",9
"карт",9
"кваліфікован",9
"ки",9
"клаптик",9
"ключов",9
"колекці",9
"креативн",9
"ктбс",9
"кур",9
"лист",9
"ляльк",9
"майстр",9
"мандрівк",9
"масов",9
"мельничук",9
"можлив",9
"місцев",9
"набор",9
"наведен",9
"наказ",9
"написанн",9
"наприклад",9
"наслідк",9
"наявн",9
"нво",9
"новгородківськ",9
"новітн",9
"номінац",9
"обмежен",9
"огляд",9
"ознайомлен",9
"олекс",9
"опублікован",9
"особ",9
"офіс",9
"перевірит",9
"перед",9
"побачил",9
"повітр",9
"подарунк",9
"пожежн",9
"покерув",9
"політик",9
"попередн",9
"продовжит",9
"проектуванн",9
"пройт",9
"пропозиц",9
"простір",9
"процедур",9
"північн",9
"підготовлен",9
"ресур",9
"реформуванн",9
"робит",9
"рук",9
"рівнян",9
"секретар",9
"семестр",9
"сергійович",9
"слух",9
"спеціалізаціє",9
"співробітництв",9
"станц",9
"структурн",9
"сформованост",9
"сілезьк",9
"трив",9
"тривал",9
"трьох",9
"фаз",9
"характер",9
"хомич",9
"цтбс",9
"цтм",9
"щорічн",9
"юлі",9
"явищ",9
"якіст",9
"інклюзивн",9
"іспит",9
"історіє",9
"android",8
"iiii",8
"maple",8
"science",8
"адрес",8
"акц",8
"алгебр",8
"алін",8
"астрономічн",8
"бачит",8
"безкоштовн",8
"будов",8
"будьяк",8
"варіант",8
"веснян",8
"вимір",8
"вимірюванн",8
"випуск",8
"вислов",8
"висновк",8
"вишивк",8
"включ",8
"впор",8
"встановленн",8
"відгук",8
"відзначит",8
"вір",8
"ганенк",8
"геннадіївн",8
"геро",8
"глибок",8
"гнучк",8
"гот",8
"данил",8
"делегац",8
"детал",8
"документаці",8
"долуч",8
"дослід",8
"доступ",8
"дснс",8
"діан",8
"ділов",8
"дітьм",8
"діяльнісн",8
"діяч",8
"екзаменаційн",8
"загибл",8
"залиш",8
"заочн",8
"засіб",8
"західн",8
"звершен",8
"звіт",8
"здатн",8
"здобутт",8
"здійсненн",8
"здійснил",8
"земн",8
"зйомк",8
"змаг",8
"змогл",8
"знаходит",8
"зовнішн",8
"зондуванн",8
"зупинил",8
"зібран",8
"калькулятор",8
"калініченк",8
"код",8
"командн",8
"контролер",8
"концепці",8
"кошт",8
"кулінарн",8
"кібербезпек",8
"лупан",8
"лідер",8
"майстрин",8
"мелешк",8
"механізм",8
"міністр",8
"містит",8
"навчит",8
"насамкінец",8
"насичен",8
"наст",8
"настановч",8
"начальник",8
"необхідност",8
"нмт",8
"новин",8
"номер",8
"номінаці",8
"ноч",8
"обробк",8
"одеськ",8
"однаков",8
"олександрович",8
"олексійович",8
"онлайнзустріч",8
"онікссистемз",8
"опануванн",8
"орбіт",8
"орган",8
"освітян",8
"охарактеризувал",8
"переглянут",8
"передбачен",8
"перекон",8
"плануєт",8
"пліч",8
"порядк",8
"поясн",8
"практикант",8
"предметн",8
"представ",8
"приділен",8
"прилад",8
"продовжил",8
"профес",8
"проєктуванн",8
"південн",8
"підвищув",8
"підтримув",8
"пісн",8
"робототехнічн",8
"розвязк",8
"розподіл",8
"розробц",8
"рр",8
"сервіс",8
"серц",8
"склал",8
"сонцестоянн",8
"спеціалізаці",8
"спрямуванн",8
"співорганізатор",8
"станут",8
"сум",8
"суспільн",8
"схарактеризувал",8
"схвальн",8
"талановит",8
"технологіє",8
"тижден",8
"тканин",8
"традиці",8
"увійшл",8
"установ",8
"фонд",8
"функціонуванн",8
"фізмат",8
"фінансовоекономічн",8
"чінч",8
"чітк",8
"швейн",8
"шкідлив",8
"єлизавет",8
"ід",8
"інженерн",8
"ґрунтовн",8
"ef",7
"httpstmeebxzhbfhxbszyi",7
"iv",7
"o",7
"scopus",7
"the",7
"unity",7
"адміністраці",7
"активніст",7
"акці",7
"американськ",7
"антонін",7
"бевз",7
"бо",7
"бобр",7
"брат",7
"бюджетуванн",7
"вад",7
"великодн",7
"вибірков",7
"вивчают",7
"видан",7
"виклад",7
"випускн",7
"випускниц",7
"висновок",7
"вказан",7
"включенн",7
"відвідуванн",7
"відзначен",7
"відмінн",7
"відповідальніст",7
"відповідност",7
"вікторі",7
"гайворонськ",7
"гайд",7
"гостьов",7
"готовніст",7
"гра",7
"групов",7
"двигун",7
"диск",7
"договор",7
"дозволяют",7
"докторк",7
"доповідачк",7
"допоможут",7
"доросл",7
"достатн",7
"діалог",7
"дійшл",7
"ефект",7
"завершил",7
"законодавств",7
"закріпленн",7
"зал",7
"залишаєм",7
"зарубін",7
"засвоєнн",7
"застосовув",7
"захищен",7
"захопленн",7
"збройн",7
"здатніст",7
"здобут",7
"здійснюв",7
"знайомств",7
"зрозуміл",7
"зусил",7
"києв",7
"класичн",7
"ключник",7
"кол",7
"комбінаторик",7
"комплексн",7
"комунікац",7
"кононенк",7
"корпус",7
"крас",7
"куточк",7
"кіберполіціє",7
"лочистяк",7
"лун",7
"львівськ",7
"максимальн",7
"мехатронік",7
"мирн",7
"міністерств",7
"місцевост",7
"навчальнонауков",7
"називаєт",7
"налаштуванн",7
"належн",7
"наталі",7
"нв",7
"неабияк",7
"небайдуж",7
"невелик",7
"невідємн",7
"нестеренк",7
"нормативн",7
"обєднан",7
"овпуляк",7
"одиниц",7
"одночасн",7
"опитуванн",7
"опорн",7
"оргкомітет",7
"орієнтув",7
"ос",7
"особистісн",7
"отримал",7
"панельн",7
"персональн",7
"позашкільн",7
"пол",7
"поточн",7
"початк",7
"презентаціє",7
"приз",7
"призер",7
"призначенн",7
"природн",7
"продемонстрован",7
"продовж",7
"продовжуєт",7
"профільн",7
"пріоритетн",7
"публікац",7
"реалізован",7
"рейтинг",7
"рекламн",7
"республік",7
"речовин",7
"реєстраці",7
"робітник",7
"родзинк",7
"родин",7
"розвязув",7
"розкрит",7
"розробил",7
"розробник",7
"рівнянн",7
"свідом",7
"світл",7
"сер",7
"сильн",7
"складник",7
"скічк",7
"спамбот",7
"спорт",7
"спосіб",7
"співпрацюют",7
"спілкув",7
"ста",7
"ставит",7
"стандартн",7
"стосув",7
"стратег",7
"стратегі",7
"студі",7
"схем",7
"твфурсик",7
"територіальн",7
"титаренк",7
"тмтпопбж",7
"товариств",7
"тривог",7
"увімкнут",7
"угод",7
"унікальн",7
"упровадженн",7
"урочист",7
"успішност",7
"фактор",7
"фоменк",7
"цифровізац",7
"юв",7
"юнацьк",7
"єднанн",7
"інспектор",7
"інтегративн",7
"інтерфейс",7
"інтерєр",7
"ініціатор",7
"ітгалуз",7
"bluetooth",6
"covid",6
"designer",6
"fmnstcsp",6
"in",6
"nosql",6
"scientific",6
"subgend",6
"автоматизаці",6
"адаптаці",6
"аксесуар",6
"акцентув",6
"аркушин",6
"асоціац",6
"атмосферн",6
"баж",6
"бакалаврат",6
"благодійн",6
"близьк",6
"брейнринг",6
"будинок",6
"будівельн",6
"бізнес",6
"важк",6
"вв",6
"вдосконалюв",6
"взаємн",6
"вийшл",6
"викл",6
"випадк",6
"висвітлил",6
"влад",6
"внесок",6
"восен",6
"врахув",6
"врахуванн",6
"вчил",6
"відеоролик",6
"відмінност",6
"відпочинк",6
"відраз",6
"вірш",6
"вісник",6
"гвдефорж",6
"говорил",6
"голованівськ",6
"грамот",6
"грамотн",6
"гру",6
"гуманітарн",6
"дав",6
"двіч",6
"динамік",6
"дисбаланс",6
"добр",6
"доброзичлив",6
"довгенк",6
"дод",6
"дозвол",6
"дозволил",6
"домашн",6
"домовил",6
"допомогл",6
"дослідил",6
"досягнут",6
"ділит",6
"еволюці",6
"ек",6
"екзаменатор",6
"емоц",6
"жив",6
"жител",6
"забезпечит",6
"задоволенн",6
"займ",6
"закон",6
"залучен",6
"заслух",6
"затемнен",6
"зауважил",6
"заходит",6
"згод",6
"здійснен",6
"зображенн",6
"зорян",6
"зручн",6
"зявил",6
"календар",6
"кандид",6
"карин",6
"категор",6
"клуб",6
"колективн",6
"компетентн",6
"компетентніст",6
"комунікаці",6
"контакт",6
"кордон",6
"корист",6
"кількост",6
"лв",6
"логік",6
"логічн",6
"майстерн",6
"максимум",6
"маланюк",6
"маленьк",6
"машин",6
"маєм",6
"методологічн",6
"механік",6
"михид",6
"мод",6
"модернізаці",6
"мі",6
"міжшкільн",6
"мін",6
"міс",6
"навел",6
"найуспішніш",6
"настр",6
"наявніст",6
"нестандартн",6
"новоукраїнськ",6
